2,NAMESPACE_BLOCK,<empty>,,<unknown>,<global>,,<global>,1
20726,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_r/source/high.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_r/source/high.php:<global>,,<global>,1
20767,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_r/source/impossible.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_r/source/impossible.php:<global>,,<global>,1
20804,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_r/source/low.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_r/source/low.php:<global>,,<global>,1
20838,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_r/source/medium.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_r/source/medium.php:<global>,,<global>,1
20866,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_s/help/help.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_s/help/help.php:<global>,,<global>,1
20922,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_s/index.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_s/index.php:<global>,,<global>,1
21113,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_s/source/high.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_s/source/high.php:<global>,,<global>,1
21251,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_s/source/impossible.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_s/source/impossible.php:<global>,,<global>,1
21370,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_s/source/low.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_s/source/low.php:<global>,,<global>,1
21496,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_s/source/medium.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/xss_s/source/medium.php:<global>,,<global>,1
